<U>2, so I can bring my family<C><U>Are there any good movies in Spring Hills, Kansas this afternoon?<A>What kind of movie are you looking for?<U>Something for my family.<PN>find_movies<PAN>description.other<PAV>good movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PRAV>Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 69% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 72% approval on Rotten Tomatoes<A>Okay, Family Jewels is an romantic comedy movie rated 69% on Rotten Tomatoes and Not My Problem is a comedy movie that is rated 72% approval on Rotten Tomatoes<U>What is Family Jewels about?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>What is Not My Problem about?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.<U>I'd like to see Family Jewels<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Family Jewels<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>Ok, it is showing at the AMC Holiday Theater<U>Perfect<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>this afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>2<PRAV>5<PRAV>8:10 pm<A>It's showing at 2, 5 and 8:10 pm. What time do you prefer?	[A]How many tickets do you need?	dlg-3c092ed8-7551-4e3d-81ad-7836d79ed716
<U>Shuttered sounds great<C><U>im wanting to see a new movie that is playing<A>do you have a movie in mind?<U>I would like something that is either horror or action<PN>find_movies<PAN>name.genre<PAV>horror<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PN>find_movies<PAN>name.genre<PAV>action<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron.Shuttered<PN>get_movie_attribute<PAN>name.movie<PAV>Cameron.Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<PN>get_movie_attribute<PAN>name.movie<PAV>Cameron.Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Cameron.Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Cameron.Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.Shuttered - Horror - rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.	[A]what time do you want to see it?	dlg-d52b326b-b823-4f03-abae-ddfad0841edd
<U>Yes. The AMC Holiday Theater is the closest theater to me so that works great.<C><U>Can you help me purchase movie tickets?<A>I certainly can! Do you know which movie you want to see.<U>Not yet. I just know that I want to see a movie around 5PM this evening.<A>I can provide you with a list of movies playing around that time.<U>That sounds great.<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Family Jewels<PRAV>Shuttered<PN>find_theaters<PAN>name.movie<PAV>Family Jewels<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>name.movie<PAV>Shuttered<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>around 5PM<PR>find_showtimes<PRAN>time.showing<PRAV>5:00PM<PN>find_showtimes<PAN>name.movie<PAV>Shuttered<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>around 5PM<PR>find_showtimes<PRAN>time.showing<PRAV>5:45PM<A>There are two movies playing tonight around 5PM. Family Jewels is playing at the AMC Holiday Theater at 5:00PM. Shuttered is playing at the AMC Holiday Theater at 5:45PM.<U>Do you have the Rotten Tomatoes ratings for the movies?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 61% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>rated 69%<A>Yes. Shuttered is rated 61% on Rotten Tomatoes. Family Jewels is rated 69%.<U>What type of movie is Shuttered?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>horror<A>It is a horror movie.<U>What type of movie is Family Jewels?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<A>It is a romantic comedy.<U>I like horror movies. I think I will go with Shuttered at 5:45PM.<A>Great. How many tickets would you like to purchase?<U>I just need two tickets.<A>Great. I will make a note that you want two tickets. Is the AMC Holiday Theater OK for you?	[A]I have you down for two tickets for tonight's 5:45PM showing of Shuttered at the AMC Holiday Theater. Is this all correct?	dlg-194551eb-96b2-4181-90ab-b4ce828cf5bb
<U>Great thanks so much.<C><S><A>Hello. How can I help you?<U>I want to see the James Bond Thriller tonight.<PN>resolve_movie<PAN>name.movie<PAV>James Bond Thriller<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>Yes, that would be it.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>The Hilly city in California<PN>resolve_location<PAN>location<PAV>The Hilly city in California<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>Yes please look there.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>I prefer AMC Mountain 16 please.<A>OK. Let me check showtimes at AMC Mountain 16.	[PN]find_showtimes[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]date.showing[PAV]today[PAN]time.preference[PAV]tonight	dlg-e2ce5108-54c5-490e-abbb-f58e365ef4b0
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I want to go see a movie.<A>What location?<U>I'm in Spring Hills, Kansas.<PN>resolve_location<PAN>location<PAV>Spring Hills, Kansas<PR>resolve_location<PRAN>location<PRAV>Spring Hills, Kansas<A>Which movie would you like to go see?<U>I'm not sure. I think I'm in the mood for a comedy.<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PAN>name.genre<PAV>comedy<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<A>There are two comedies currently playing in Spring Hills. Not My Problem and Family Jewels.<U>OK, can you tell me a little bit about each of those movies.<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about a troubled teen trying to convince his elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>famous diamond dealer moving from Europe into a romance with an American con artist<A>Sure, Not My Problem is about a troubled teen trying to convince his elderly neighbor that things are not what they seem. Family Jewels features a famous diamond dealer moving from Europe into a romance with an American con artist.<U>Those both sound pretty good. Can you tell me how the critics have received them?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>72% on Rotten Tomatoes<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>69% rating<A>Not My Problem scored 72% on Rotten Tomatoes while Family Jewels did slightly worse with a 69% rating.<U>Oh! I'm planning on bringing my teenage daughter with me. What are the ratings?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>Not My Problem has a rating of PG-13 while Family Jewels has an R rating.<U>OK, that decides it. I'd like tickets for Not My Problem on this Friday.<PN>find_theaters<PAN>name.movie<PAV>Not My Problem<PAN>location<PAV>Spring Hills, Kansas<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>Friday<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1 pm<PRAV>7 pm<PRAV>3:55 pm<PRAV>10:05 pm<A>Not My Problem is playing at 1 pm, 3:55 pm, 7 pm and 10:05 pm on Friday at the AMC Holiday Theater.<U>7 pm at the AMC Holiday sounds great.<A>How many tickets do you need total?<U>Just two tickets please.<A>OK, that is 2 tickets for Not My Problem for Friday evening at 7 pm at the AMC Holiday Theater.<U>Yep, that's correct.<PN>book_tickets<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>num.tickets<PAV>two tickets<PAN>time.showing<PAV>7 pm<PAN>date.showing<PAV>Friday<PAN>seating<PAV>any	[A]Your tickets are confirmed and they’ve been sent to your email address.	dlg-8b52d798-d001-417c-95d4-ad9efdf66704
<U>Yes show me please.<C><U>Hello assistant, can you suggest me some action movies.<A>Yes, there are lots of. Can you give me more information.<U>Yes, The movie should have lots of fights.<A>Okay, how about love in the movie.<U>Love can be there.<A>Only action is needed or any movies with adventure?<U>Adventure too will be good.<A>Okay I have some recommendations for you.	[PN]find_movies[PAN]name.genre[PAV]action[PAN]description.other[PAV]movie should have lots of fights	dlg-77c04b24-c515-4e6b-ae6b-b7318dc131a3
"<U>I am thinking maybe the 7:30 showing would be ok- real quick, what are your options for action pics?<C><U>Hey, looking to see a movie tomorrow. Not sure what I want to see.<A>Ok, I think I can Help you with that. Do you know what type of film you would like to go to?<U>I 'd like to check out Rom coms, and Documentaries- my date likes action movies.<A>Would you like some suggestions from each category to help you decide?<U>That would be great!<PN>find_movies<PAN>name.genre<PAV>Rom coms, and Documentaries- my date likes action movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Family Jewels""<PRAV>""Backcountry.""<PRAV>""Beyond The Storm""<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedies<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes gave it a 69%<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>description.plot<PRAV>It is about a famous diamond dealer who leaves his European life in Antwerp to pursue a romance with an American con artist<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>For romantic comedies there is a movie called ""Family Jewels"" it is rated R. Rotten Tomatoes gave it a 69%. It is about a famous diamond dealer who leaves his European life in Antwerp to pursue a romance with an American con artist. It stars Melissa McCarthy, and Ryan Reynolds.<U>I don't think that is for me, the AMC Holiday Theater is not close to me, and the Rotten tomatoes score is really low too. What is showing downtown?<PN>resolve_theater<PAN>name.theater<PAV>AMC Holiday Theater<PAN>location<PAV>nearby<PR>resolve_theater<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>get_movie_attribute<PAN>name.movie<PAV>""Backcountry.""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary<PN>get_movie_attribute<PAN>name.movie<PAV>""Backcountry.""<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes scored at 91%<PN>get_movie_attribute<PAN>name.movie<PAV>""Backcountry.""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>The film explores Yosemite's natural beauty, as it is one of the United State’s most iconic national parks<A>Ok, how about ""Backcountry."" Its a Documentary that Rotten Tomatoes scored at 91%. The film explores Yosemite's natural beauty, as it is one of the United State’s most iconic national parks.<U>That sounds really interesting- what showtime's do you have for tomorrow?<PN>find_theaters<PAN>name.movie<PAV>Backcountry<PAN>location<PAV>downtown<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_showtimes<PAN>name.movie<PAV>""Backcountry.""<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<A>Backcountry is playing at the Cinemark Downtown, and showtimes are at 4:10pm, 7:30pm, and 10:15pm. Do any of these times work for you?"	"[PN]get_movie_attribute[PAN]name.movie[PAV]""Beyond The Storm""[PAN]attribute[PAV]name.genre"	dlg-2b7d9238-86fd-4f3e-8d05-2c45456168cf
<U>Yes.<C><U>I would like to buy movie tickets.<A>Okay. Which movie would you like to see?<U>Jumanji.<A>Sure. What theatre location would you like to see the movie Jumanji?<U>Orlando<PN>find_theaters<PAN>name.movie<PAV>Jumanji<PAN>location<PAV>Orlando<PR>find_theaters<PRAN>name.theater<PRAV>Orlando Multiplex movie theatre<A>Alright. I found Jumanji playing at the Orlando Multiplex movie theatre. Jumanji is showing in Standard, 3D and IMAX. Which experience are you interested in?<U>IMAX<PN>find_showtimes<PAN>name.movie<PAV>Jumanji<PAN>name.theater<PAV>Orlando Multiplex movie theatre<PAN>date.showing<PAV>today<PAN>type.screening<PAV>IMAX<PR>find_showtimes<PRAN>time.showing<PRAV>5:00 PM<A>Alright. Jumanji is showing in IMAX at 5:00 PM. How many tickets would you like?<U>Two<PN>check_tickets<PAN>name.movie<PAV>Jumanji<PAN>name.theater<PAV>Orlando Multiplex movie theatre<PAN>num.tickets<PAV>Two<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PAN>time.showing<PAV>5:00 PM<PR>check_tickets<PRAN>status<PRAV>unavailable<A>I'm sorry but it seems Jumanji is sold out for the IMAX show at 5:00 PM. Would you like me to look up any 3D or Standard show times?<U>Yes. What are the 3D show times?<PN>find_showtimes<PAN>name.movie<PAV>Jumanji<PAN>date.showing<PAV>today<PAN>name.theater<PAV>Orlando Multiplex movie theatre<PAN>type.screening<PAV>IMAX<PR>find_showtimes<PRAN>time.showing<PRAV>9:00 PM<A>Jumanji is showing in 3D at 9:00 PM. Would you like two tickets for this show.<U>No. What time is Jumanji showing in standard?<PN>find_showtimes<PAN>name.movie<PAV>Jumanji<PAN>name.theater<PAV>Orlando Multiplex movie theatre<PAN>date.showing<PAV>today<PAN>type.screening<PAV>Standard<PR>find_showtimes<PRAN>time.showing<PRAV>5:00 PM<PRAV>3:00 PM<PRAV>7:00 PM<A>Jumanji is showing at 3:00 PM, 5:00 PM and 7:00 PM. Which time are you interested in?<U>5:00 PM.<PN>check_tickets<PAN>name.movie<PAV>Jumanji<PAN>name.theater<PAV>Orlando Multiplex movie theatre<PAN>num.tickets<PAV>Two<PAN>time.showing<PAV>5:00 PM<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>Great. Jumanji is available at 5:00 PM for a standard show for two tickets. Would this be two adult tickets?	[A]Alright. Just so I understand, you would like two adult tickets to see Jumanji at the Orlando Multiplex for the 5:00 PM standard show, is that correct?	dlg-9a07bbda-f68a-4bde-88df-72b37d509c6a
<U>OK, I'll buy tickets for the earlier one.<C><U>I'd like to see a comedy.<A>What day?<U>This Wednesday afternoon.<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>Spring Hills<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<A>In Spring Hills, on July 2, there are two comedies playing. One is listed as being romantic.<U>Tell me about the other one.<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>It's called Not My Problem. The stars are Matt Damon and Noah Schnapp.<U>What are the afternoon movie times?<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>date.showing<PAV>This Wednesday afternoon<PAN>time.preference<PAV>afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<A>1pm and 3:55pm.<U>Oh, I almost forgot. Did it get a good review?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>72% on Rotten Tomatoes<A>72% on Rotten Tomatoes.	[A]All right, how many?	dlg-70c82735-dbc3-4931-9c3d-33e290135d31
<PR>get_movie_attribute<PRAN>description.plot<PRAV>explores Yosemite in all its glory and delves into the wonders of one of the United State’s most iconic national parks<C><U>I'm looking to purchase tickets for an action or documentary movie tomorrow night.<A>Would you like for me to make some suggestion?<U>sure. What do you have in mind?<PN>find_movies<PAN>name.genre<PAV>action<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>beyond the storm<PN>find_movies<PAN>name.genre<PAV>documentary<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>backcountry<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>documentary<A>well, there is beyond the storm for an action movie and backcountry for a documentary. any interest in these?<U>the movie beyond the storm, what's it about?<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>pg-13<PN>get_movie_attribute<PAN>name.movie<PAV>beyond the storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>about fishing in the North Sea which gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<A>It's a pg-13 rated movie about fishing in the North Sea which gets ugly as Captain John’s crew faces not only severe weather but a traitor on board.<U>sounds intense and the documentary backcountry?<PN>get_movie_attribute<PAN>name.movie<PAV>backcountry<PAN>attribute<PAV>description.plot	[A]well, that one explores Yosemite in all its glory and delves into the wonders of one of the United State’s most iconic national parks.	dlg-1d5fd2bf-5980-4958-9f45-46c2412bc26a
<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<C><U>Hey, I need ten seats tonight for either one of two movies.<A>And where are you located?<U>We are in Spring Hills, Kansas. I think our theater choices are the AMC Holiday Theater or the Cinemark Downtown.<A>I show both of those theaters and you said you are looking for ten seats?<U>That is correct. We are looking at either Shuttered at the AMC Holiday Theater or Beyond the Storm at the Cinemark.<A>And what times were you looking at?<U>The times don't really matter. We just need seating for ten and I want to know a little bit about the films.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie	[PN]get_movie_attribute[PAN]name.movie[PAV]Shuttered[PAN]attribute[PAV]review.critic	dlg-8dd24d82-2a42-4c3c-82ed-3321c32afc89
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<C><U>Tonight sounds like a good time to go see a movie.<A>Sure. What movie would you like to see?<U>I don't know yet. Show me what's playing now.<A>No problem. Can you tell me what city you’re in?<U>Boston, Massachusetts.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?<U>I know about No Time To Die. Can you provide me more details about Emma?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Emma<PR>get_movie_attribute<PRAN>description.plot<PRAV>In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her<A>OK. Here’s the description of Emma: In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her.<U>I think Emma sounds interesting. Can you get me two tickets to Emma?<PN>find_theaters<PAN>location<PAV>Oak Valley, Arkansas<PAN>name.movie<PAV>Emma	[PN]find_showtimes[PAN]date.showing[PAV]tonight[PAN]name.movie[PAV]Emma[PAN]name.theater[PAV]AMC Mercado 24	dlg-3f89ea97-c8b4-4544-a438-8f4f7a2bc90a
