<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<C><U>Is the new Birds of Prey movie showing at the Bel Air Luxury Cinema?<PN>find_movies<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>description.other<PAV>new<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Birds of Prey<A>Yes. Birds of Prey is being shown at the Bel Air Luxury Cinema.<U>What is the movie rated?<PN>get_movie_attribute<PAN>name.movie<PAV>Birds of Prey<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>Rated-R<A>The movie is Rated-R.<U>Is there a matinee showing of the movie around 10:00AM?<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>Bel Air Luxury Cinema<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Unfortunately, there is no matinee showing of this film at 10:00AM in any nearby theaters. Is there any other times you would prefer?<U>No. I want to see a movie at 10:00AM.<A>Do you have any other movie preferences?<U>What about Sonic the Hedgehog at the Devonshire Mall theater?<PN>find_movies<PAN>name.theater<PAV>Devonshire Mall<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Sonic the Hedgehog<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>Devonshire Mall<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 10:00AM<PR>find_showtimes<PRAN>time.showing<PRAV>empty<A>Sonic the Hedgehog is playing at Devonshire Mall theater, but there are no showings around 10:00AM.<U>I may be able to change my showtime preference to 1:00PM. Are the Birds of Prey or Sonic the Hedgehog movies playing around 1:00PM?<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_theaters<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Fairlane 21<PN>find_showtimes<PAN>name.movie<PAV>Birds of Prey<PAN>name.theater<PAV>AMC Fairlane 21<PAN>date.showing<PAV>today<PAN>time.preference<PAV>1:00PM<PR>find_showtimes<PRAN>time.showing<PRAV>1:00PM<PN>find_showtimes<PAN>name.movie<PAV>Sonic the Hedgehog<PAN>name.theater<PAV>AMC Fairlane 21<PAN>time.preference<PAV>10:00AM<PAN>date.showing<PAV>today	[A]The AMC Fairlane 21 has 1:00PM showtimes for both Birds of Prey and Sonic the Hedgehog.	dlg-ab7bc910-e728-4339-b0f6-f4f9b5dc2c1b
<PR>book_tickets<PRAN>status<PRAV>success<C><U>purchase 3 tickets for tonight at AMC Mountain 16<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>My location is Santa Barbara, California<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>I already said AMC Mountain 16<A>Sorry for the trouble but I wanted to make sure I have it right.<U>OK.<A>Is there a particular movie you’re looking for?<U>I'm not sure yet, but can we move faster?<A>OK, so far I understand that you are interested in tickets for tonight at AMC Mountain 16. We just need to decide on a movie, the number of tickets and a showtime.<U>What is laying at AMC Mountain 16?<PN>find_movies<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<A>I found two movies at AMC Mountain 16: No Time To Die and Mulan.<U>I want to watch No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm The 9:10pm show<A>Got it. And how many tickets?<U>One for me, Bob and Amy.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>Confirm.<A>Is it OK to go ahead and purchase these tickets?<U>Yes please purchase tickets.<PN>book_tickets<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>time.showing<PAV>4:30pm<PAN>num.tickets<PAV>three<PAN>date.showing<PAV>tonight	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-8da5c82d-dd2d-41e3-b51e-e81ac2c88f94
<PR>get_movie_attribute<PRAN>description.plot<PRAV>a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<C><U>I'm currently in Spring Hills Kansas and I want to watch a movie this upcoming Monday, please help me buy movie tickets.<A>No problem. Did you have a movie in mind for Monday?<U>I was thinking Family Jewels as I heard from my friends it was really good, but I also heard the same about Not My Problem.<A>Would you like to know anything about either movie to help you make a decision?<U>I suppose, just to refresh my memory, can you tell me what the synopsis is for Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot	[A]In Not My Problem, a troubled teen tries to convince his depressed elderly neighbor that things are not what they seem.	dlg-e95e5ca3-d515-488a-b4f2-1954a304fa2c
<U>Actually can you save this order and get then tomorrow morning instead?<C><U>Hi I need help ordering movie tickets<A>Hi. I am happy to help with that!<U>Great let’s get started!<A>Okay, which city would you like to see the movie in?<U>I live in Walnut Creek CA<PN>find_theaters<PAN>location<PAV>Walnut Creek CA<PR>find_theaters<PRAN>name.theater<PRAV>Walnut Creek 14<A>Would the Walnut Creek 14 theater be okay?<U>Yes that is great!<A>Perfect. How many tickets will you need?<U>I need two tickets<A>Okay. Which movie did you have in mind<U>I want to see 1917.<A>Perfect and what time slot would you prefer?<U>I want to see it Around 7:00 pm tomorrow<A>Great. There are both standard and imax available. Any preference?<U>Yes I would prefer imax<A>Perfect. Your order is ready. Would you like to buy the tickets now for 1917, tomorrow at 7 pm in imax format at the Walnut Creek 14 theater for two people?	[A]Yes I can delay the order and save all details. It will be processed tomorrow	dlg-79f2b2a4-02fa-45b6-8e1b-bed4975dc294
"<U>I want to see ""Far From You"" tonight with my wife, where is it showing near Lands End, Montana?"	[PN]find_theaters[PAN]location[PAV]near Lands End, Montana	dlg-9673614e-b7c7-4334-8c79-d3d9613af26c
<U>Yes.<C><U>I am hoping to relax tonight and see a movie.<A>Sure. What movie would you like to see?<U>I'm not really sure. Can you help me pick something out that is playing near me?<A>No problem. Can you tell me what city you’re in?<U>Sure. Oak Valley, Arkansas is where I'm located.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?<U>I am pretty familiar with No Time To Die but I'd like to hear more information about Emma please.<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Emma<PR>get_movie_attribute<PRAN>description.plot<PRAV>In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her<A>OK. Here’s the description of Emma: In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her.<U>That sounds very interesting actually, I'll take two tickets for Emma please.<PN>find_theaters<PAN>location<PAV>Oak Valley, Arkansas<PAN>name.movie<PAV>Emma<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<PN>find_showtimes<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK. Emma is playing at AMC Mercado 24 today at 5:00pm, 7:10pm, and 9:45pm. Which time would you like?<U>I'll go with the 7:10 PM.<A>All right. Let me confirm that you’d like two tickets for Emma at AMC Mercado 24 tonight at 7:10pm. Is that all correct?<U>That is correct.<A>Is it OK to go ahead and purchase these tickets?	[PN]book_tickets[PAN]num.tickets[PAV]two[PAN]name.movie[PAV]Emma[PAN]name.theater[PAV]AMC Mercado 24[PAN]date.showing[PAV]tonight[PAN]time.showing[PAV]7:10pm	dlg-1506e6e8-dc04-43f5-bc72-72b5775b0cad
<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomato score for the Gentlemen is 71%<C><U>Hello. I think I would like to see a movie this.<A>Okay. I can help with that.<U>What is the Rotten Tomatoes score for Doolittle?<PN>get_movie_attribute<PAN>name.movie<PAV>Doolittle<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score for Doolittle is 19%<A>The Rotten Tomatoes score for Doolittle is 19%.<U>Oh. That is not good. What is the Rotten Tomatoes score for The Gentlemen?<PN>get_movie_attribute<PAN>name.movie<PAV>The Gentlemen<PAN>attribute<PAV>review.critic	[A]The Rotten Tomato score for the Gentlemen is 71%.	dlg-487ec779-1056-4c97-848b-f4d8592b631c
<PR>get_movie_attribute<PRAN>name.genre<PRAV>Western<C><U>Hello, I want to see a movie tonight, if possible.<A>And you are in Hillview, Washington?<U>Yes, that is true. It doesn't matter which theater. We are close to everything.<A>Okay, what kind of movie where you looking for?<U>Well, it will be two adults so maybe a drama. Maybe something R rated I guess. I also want to look at the times. Something around 7 or 8pm.<A>Okay, I will check that for you.<U>Okay, thanks.<PN>find_movies<PAN>location<PAV>Hillview, Washington<PAN>name.genre<PAV>drama<PR>find_movies<PRAN>name.movie<PRAV>Beholden<PRAV>Indulgent<PRAV>King Johnny<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R rated<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R rated<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R rated<A>In your area, as far as R rated movies, I show Indulgent, Beholden and King Johnny.<U>Okay, what are the reviews on those?<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>has a 72% score<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>is at 71%<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>is at 69%<A>According to Rotten Tomatoes, Indulgent has a 72% score, King Johnny is at 71% and Beholden is at 69%.<U>I see. Not much difference in those. Are they all dramas?<PN>get_movie_attribute<PAN>name.movie<PAV>Indulgent<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Suspense<PN>get_movie_attribute<PAN>name.movie<PAV>Beholden<PAN>attribute<PAV>name.genre	[PN]get_movie_attribute[PAN]name.movie[PAV]King Johnny[PAN]attribute[PAV]name.genre	dlg-9fbb57c6-3d07-485d-91d5-f7dfa2c7a84d
<U>That’s right.<C><U>Hi, I'm trying to find where I can see the movie in theater about a bunch of dudes throwing around a football. I'm in Tucson, Arizona.<PN>resolve_movie<PAN>name.movie<PAV>Bunch of dudes throwing around a football<PR>resolve_movie<PRAN>name.movie<PRAV>The Room<A>Happy to help! Let me just confirm that the movie you're talking about is The Room. Is that right?	[PN]find_theaters[PAN]name.movie[PAV]The Room[PAN]location[PAV]Tucson, Arizona	dlg-08cb9b33-c1f2-4589-aa80-012f76e95880
<U>Please do so.<C><U>I would really like to see a movie this evening.<A>OK. Do you have anything in mind?<U>Not anything specific, actually.<A>Sure. And what city are you looking in?<U>I'm in Brando, Texas. We like to call it God's country down here.<A>Brando, Texas. Got it. And is there a particular type of movie you’d like to see?<U>Tell me some that are showing currently.<PN>find_movies<PAN>location<PAV>Brando, Texas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Stella’s House<A>A few titles playing in your area are No Time To Die, Mulan, and Stella’s House.<U>Oh, Stella's House, that's supposed to be really good! Who directed that one?<PN>get_movie_attribute<PAN>attribute<PAV>name.person<PAN>name.movie<PAV>Stella’s House<PR>get_movie_attribute<PRAN>name.person<PRAV>Clyde Stewart<A>The director of Stella’s House is Clyde Stewart.<U>He's got such a good record as a director. Is Stella's House playing in my area, if so at which theaters? Also give me the show times, if you could.<PN>find_theaters<PAN>name.movie<PAV>Stella’s House<PAN>location<PAV>Brando, Texas<PR>find_theaters<PRAN>name.theater<PRAV>Milford Theater<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Stella’s House is playing at the Milford Theater. Showtimes are 4:40pm, 7:10pm, and 9:30pm. Which one would you prefer?<U>You know what? It completely slipped my mind but I'm not free this evening. Could I reschedule for the next day?<A>No problem. Let me check the showtimes for tomorrow.<PN>find_showtimes<PAN>name.movie<PAV>Stella’s House<PAN>date.showing<PAV>tomorrow<PAN>name.theater<PAV>Milford Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. The showtimes for tomorrow are the same. Which one should I book?<U>Could you tell me the last time again?<A>Sure. The last showing is 9:30pm.<U>Yes, I'll go with that one. I'll need four tickets please.<A>All right. Let me confirm. You’d like 4 tickets for the 9:30pm showing of Stella’s House at Milford Theater tomorrow. Is that all correct?<U>Yes, that's correct.<A>Is it OK to go ahead and purchase these tickets?	[PN]book_tickets[PAN]name.movie[PAV]Stella’s House[PAN]name.theater[PAV]Milford Theater[PAN]time.showing[PAV]9:30pm[PAN]num.tickets[PAV]4[PAN]date.showing[PAV]tomorrow	dlg-08df5523-262f-4ff8-beac-72d9454cec44
<U>I wish to go ahead with Backcountry<C><U>Hey I am looking for movie ticket<A>I can help you with that, which city are you from?<U>I am from Spring Hills Kansas.<A>Thanks for providing the information. What type of movie are you looking for?<U>I would like to watch Action or Documentary.<A>Awesome, Do you wish to see any specific movie or Shall I give you few suggestions?<U>Yes I love to hear what movies available based on Action or Documentary?<PN>find_movies<PAN>name.genre<PAV>based on Action or Documentary<PAN>location<PAV>Spring Hills Kansas.<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PRAV>Backcountry<A>I have two suggestions for you Beyond The Storm and Backcountry would you wish to know more about this movie?<U>Yes what is the ratings?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Documentary (outdoor)<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>G<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 91%<A>Sure, Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% and Backcountry Documentary (outdoor) - rated G - Rotten Tomatoes 91% which one do you prefer?	[A]Thanks for the confirmation, For your information Backcountry movie is available in Cinemark Downtown theater, would you wish to proceed?	dlg-410f034d-8c57-4490-9d99-f8cd96506650
<U>I would like to order movie tickets for tonight.	[A]I can help with that. Which theater?	dlg-783c906e-c312-426a-8479-f87096886581
<U>I am interested in going to AMC Mountain 16 as I said initially.<C><U>Hey! I would like to buy 3 movie tickets for tonight at the AMC Mountain 16 location.<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>The movie theater is in Santa Barbara, California.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?	[A]Sorry for the trouble but I wanted to make sure I have it right.	dlg-ae92b5e0-c381-4b63-859c-94498144995c
<U>I want to see the movie Sam's Delight, my wife and I want to go and I am excited!<C><U>Can I get some some help booking tickets for a movie,please?<A>I can help you with that, what movie are you searching for?	[A]What location .....	dlg-184f3ce4-e50e-4130-ac04-47f7acb58a66
<U>Deptford amc<C><U>I would like to order tickets ?<A>What movie would you like to watch?<U>I would like to see fantasy island.<A>What theatre would you like ?	[A]What showtime would you like ?	dlg-7ba9fd54-0247-4bf7-863e-20b46f47beb9
<U>there are quite a bit of movies at the cinemas at the moment but not much comedy	[A]currently there is just one comedy at the cinemas that are worth mentioning	dlg-9eb8ca1b-94b0-469b-a124-7d81cb3882be
<U>I only need one ticket.<C><U>I'm interested in seeing the movie Dolittle.<A>Ok, where would you like to watch the movie?<U>I'd like to watch it at the Arlington Courthouse AMC.<A>Ok, what time would you like to watch the movie at and what day?<U>I'd like to watch it at 8:00 PM this Monday.<A>Ok, how many tickets do you need?	[A]Ok, just one ticket.	dlg-de2ca15c-a21d-4141-a5b1-93491d028b51
<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<C><U>I want to see a movie tonight.<A>Sure. What movie would you like to see?<U>What is playing at Boulevard 14 Cinema in Petaluma, California.<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>Can you explain to me a bit of what the movie Mulan is like?<A>Sure. What specifically would you like to know?<U>What type of plot does it have?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>What were the ratings by the audience, and what were the ratings by the critics?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan	[A]Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.	dlg-d4262dee-a26b-4601-9690-831f59b2e093
<U>No, that will be it. I am all set. Thank you.<C><U>Hello, I am in Land's End, Montana and my girlfriend and I want to see a movie later today. Sometime in the afternoon. What do you have available at the Legacy Monument Family 12?<A>Thank you for your inquiry. I will check that for you.<U>Thank you.<PN>find_movies<PAN>location<PAV>Land's End, Montana<PAN>name.theater<PAV>Legacy Monument Family 12<PR>find_movies<PRAN>name.movie<PRAV>Far From You<PRAV>Sam's Delight<A>For today at the Legacy Monument 12 I have to films that are currently showing, Far From You and Sam's Delight.<U>Far From You and Sam's Delight. Do you have any reviews on either?<A>Sorry, but I don't show that information at this time.<U>That's okay. What times do you have?<PN>find_showtimes<PAN>name.movie<PAV>Sam's Delight<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>Sometime in the afternoon<PR>find_showtimes<PRAN>time.showing<PRAV>4:00 pm<A>For this afternoon there is only a 4:00 pm showing of Sam's Delight. All other showings of Sam's Delight and Far From you are for this evening.<U>I see. Well, let me check the evening times for Far From You.<A>On moment please.<U>Thank you.<PN>find_showtimes<PAN>name.movie<PAV>Far From You<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>date.showing<PAV>today<PAN>time.preference<PAV>this evening<PR>find_showtimes<PRAN>time.showing<PRAV>8:40 pm<PRAV>10:40 pm<A>For Far From You I show a 8:40 pm and 10:40 pm.<U>I see. Well, looks like it will be Sam's Delight. We would like to confirm that. How much will that be?<A>Okay, so I have two people for the 4:00 pm showing of Sam's Delight at the the Legacy Monument Family 12 for this afternoon. Total cost for two people will be $15 dollars. Did you want to confirm that with the same form of paymnt?<U>Yes, go ahead and do that.<A>Okay, so I have two people confirmed for the 4:00 pm showing of Sam's Delight today. Again, the total cost is $15 dollars.<U>That is good.<PN>book_tickets<PAN>name.movie<PAV>Sam's Delight<PAN>name.theater<PAV>Legacy Monument Family 12<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>4:00 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any<PR>book_tickets<PRAN>status<PRAV>success<A>Your tickets are confirmed and they’ve been sent to your email address. Will there be anything else I can help you with?	[A]Thank you and enjoy your day.	dlg-a858b25f-8965-47dc-8ffd-b19385aa28c1
<U>Wow, that sounds much more up my alley. Get me hooked up with those tix please?<C><U>Hi, I'm sorta bored, what is something fun I could do on a rainy day?<A>What kind of interests do you have?<U>I like science fiction, pets, and sunbathing<A>Well, do you like cinema, or movies?<U>Sure, I like them.<A>Do you want to see a movie today? There are some nice ones out you might like?<U>I don't know, What's playing?<PN>find_movies<PAN>name.genre<PAV>science fiction<PAN>description.other<PAV>pets, and sunbathing<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Cat's<A>Cat's is a good movie, you might like it since you like pets.<U>There are a lot of movie times locally, which theatre plays it around 1 pm?<PN>find_theaters<PAN>name.movie<PAV>Cat's<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>The Rialto on Summerfield<PN>find_showtimes<PAN>name.movie<PAV>Cat's<PAN>name.theater<PAV>The Rialto on Summerfield<PAN>date.showing<PAV>today<PAN>time.preference<PAV>around 1 pm<PR>find_showtimes<PRAN>time.showing<PRAV>1:05 pm<A>The Rialto on Summerfield in Santa Rosa. It's at 1:05 pm.<U>Fine, sounds good.<A>ok, The cost is 12.00 each, how many would you like?<U>Wait, I changed my mind. What other movies are playing there. I heard bad things about Cats.<PN>find_movies<PAN>name.genre<PAV>science fiction<PAN>name.theater<PAV>The Rialto on Summerfield<PAN>location<PAV>Santa Rosa<PAN>description.other<PAV>something fun<PR>find_movies<PRAN>name.movie<PRAV>Star Wars<A>Well, sorry to hear that, they also have the new Star Wars movie, you might like that since you mentioned Sci Fi.	[A]Sure what time do you prefer?	dlg-f69e0fbe-fa02-442c-b506-5d9e2a6f9103
<U>I love comedies! Can you recommend one?<C><U>I am looking for a feel good movie.<A>I would suggest a comedy.	[PN]find_movies[PAN]description.other[PAV]feel good movie[PAN]name.genre[PAV]comedies![PAN]location[PAV]nearby	dlg-b8d5b26b-3280-4be5-9d9e-2b86c85fc538
"<PR>get_movie_attribute<PRAN>review.critic<PRAV>69% on Rotten Tomatoes<C><U>Hello! I'm hoping you can help me in booking movie tickets.<A>Sure! What area do you live in?<U>I live in Kansas in Spring Hills.<A>Alright. It seems you have two different theater location options. Do you already know which movie you'd like to see?<U>No, I don't, but I like comedies. Do you know what is playing at the two theaters?<PN>find_movies<PAN>location<PAV>Kansas in Spring Hills<PAN>name.genre<PAV>comedies<PR>find_movies<PRAN>name.movie<PRAV>""Not My Problem""<PRAV>""Family Jewels,""<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels,""<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>romantic comedy<A>Yes, there are two movies you might be interested in. ""Not My Problem"" and ""Family Jewels,"" a comedy and romantic comedy, respectively.<U>Could you tell me some more info about the first one you mentioned?<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<PN>get_movie_attribute<PAN>name.movie<PAV>""Not My Problem""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It is about teenager with behavioral problems who attempts to convince his grumpy older neighbor that reality is not how it might seem<A>Sure! ""Not My Problem"" stars Matt Damon and Noah Schnapp. It is about teenager with behavioral problems who attempts to convince his grumpy older neighbor that reality is not how it might seem.<U>That sounds good! Would you mind telling me about the other one?<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels,""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels,""<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels,""<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>well-known diamond dealer who abandons his European life in exchange for a relationship with a con artist<A>""Family Jewels"" stars Melissa McCarthy and Ryan Reynolds in a romcom about a well-known diamond dealer who abandons his European life in exchange for a relationship with a con artist.<U>Hmm, both sound really interesting. How do their ratings compare?<PN>get_movie_attribute<PAN>name.movie<PAV>""Family Jewels,""<PAN>attribute<PAV>review.critic"	"[PN]get_movie_attribute[PAN]name.movie[PAV]""Not My Problem""[PAN]attribute[PAV]review.critic"	dlg-08fb54f2-f54a-4441-af24-546f7b8f7cab
