<U>Yes, I'd like to buy movie tickets for today.	[A]I'd be glad to assist you. Do you know what you want to see, or would you like some help?	dlg-b422568e-0f8d-42f3-9bf3-e118807699ae
<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<C><U>Hey, I'm really interested in seeing a movie tonight<A>Okay, would you like to see a comedy?<U>Sure, what's playing now?<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]name.person	dlg-e81ad985-d178-470b-9692-c090c9f9c8cd
<U>What's the general story?<C><U>I'm thinking about going to the movies today.<A>Sure. What movie would you like to see?<U>Can you tell me what's playing at Blvd 14 cinema in Petaluma, CA?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>What's Mulan about?<A>Sure. What specifically would you like to know?	[PN]get_movie_attribute[PAN]attribute[PAV]description.plot[PAN]name.movie[PAV]Mulan	dlg-14c42119-377c-4dc1-8d4a-64d6b8311172
<U>I feeling like catching a movie tonight.	[A]OK. And where will you be seeing the movie?	dlg-c3b45ac9-e04d-4dda-83db-9a5946d414c4
<PR>check_tickets<PRAN>status<PRAV>unavailable<C><U>Hi can you help me book movie tickets?<A>Yes of course!<U>Awesome, let's do it!<A>Okay, which movie did you have in mind?<U>I want to see Bad Boys For Life<A>Great choice. Where?<U>In Walnut Creek, CA.<PN>find_theaters<PAN>name.movie<PAV>Bad Boys For Life<PAN>location<PAV>Walnut Creek, CA<PR>find_theaters<PRAN>name.theater<PRAV>Walnut Creek 14<A>Okay, is the Walnut Creek 14 cinema work?<U>Yes that is the one I want.<A>Great. How many tickets?<U>I need 6 tickets<PN>check_tickets<PAN>name.movie<PAV>Bad Boys For Life<PAN>name.theater<PAV>Walnut Creek 14<PAN>num.tickets<PAV>6<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Unfortunately, no show times have that many seats available for this movie right now. Do you have any other movie in mind?	dlg-e235e570-9230-48e9-ae09-7c31fa735d87
<U>Seven Trees, Nebraska<C><U>I'm on assignment in a new town and I'd like to see a movie<A>What town are you staying in?	[PN]find_theaters[PAN]location[PAV]Seven Trees, Nebraska	dlg-5dc649e8-6c69-49e0-8ad4-55ef13710e2e
<U>Today at 1:30 PM<C><U>What's a funny movie that's out right now?<PN>find_movies<PAN>description.other<PAV>funny movie<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Bad Boys For Life<A>How about Bad Boys For Life? It's an action packed movie with some comedy as well.<U>Sure sounds good. I'd like to book tickets<A>Great, where are you located?<U>In East Hanover, NJ. I'd like 5 tickets for the AMC East Hanover Theatres please<A>What day and time were you interested in?	[A]Will these be standard tickets?	dlg-946ff648-cacc-44f1-8e50-dccfe6227ecb
<U>Which one has the most action and is just fun to watch?<C><U>Find me an action movie that is stimulating and is either a mystery or a thriller.<PN>find_movies<PAN>name.genre<PAV>mystery<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>21 Bridges<PRAV>Knives Out<PRAV>Charlie's Angels<A>Here are 3 choices: 21 Bridges, Knives Out or Charlie's Angels	[A]I would suggest Charlie's Angels	dlg-ed8c0f2d-de68-453f-8bd8-9879464d7664
<U>three<C><U>What movie could I see tonight<A>OK. And where will you be seeing the movie?<U>probably in Creek's end, oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>is Mulan supposed to be good?<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. Disney seems like a great choice. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>AMC Mercado 24 would be closer<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?<U>Buytickets for 5pm<A>Great. And how many tickets?	[A]All right. Let me confirm that you’d like three tickets for Mulan at AMC Mercado 24 tonight at 5:00pm. Is that all correct?	dlg-92984692-927f-4eab-afb5-19ab52cf010f
"<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hello, can you tell me what is playing at the movies<A>Sure. Can you provide the theater of choice<U>Lets Try Cinemark 20<A>Ok. Checking Cinemark 20.<U>Thank you<PN>find_movies<PAN>name.theater<PAV>Cinemark 20<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>""Bad Boys for Life""<PRAV>""1917""<PRAV>""Star Wars<PRAV>""Jo Jo Rabbit""<A>Movies showing at Cinemark 20 include ""Bad Boys for Life"", ""1917"", ""Star Wars, and ""Jo Jo Rabbit""<U>Oh!! Jo Jo Rabbit sounds good.<A>Ok do you want to hear the showings?<U>yes Please, all evening showings<PN>find_showtimes<PAN>name.movie<PAV>""Jo Jo Rabbit""<PAN>name.theater<PAV>Cinemark 20<PAN>date.showing<PAV>today<PAN>time.preference<PAV>all evening showings<PR>find_showtimes<PRAN>time.showing<PRAV>6:00 PM<PRAV>7:30 PM<PRAV>9:00 PM<PRAV>10:30 PM<A>Ok. I have showings for Jo Jo Rabbit at 6:00 PM, 7:30 PM, 9:00 PM, and 10:30 PM<U>Ok. I would like thee tickets for the 7:30 PM showing<A>Ok. Just to confirm. You want me to purchase two tickets for Jo Jo Rabbit at 7:30 PM at Cinemark 20<U>Actually I said Three tickets to Jo Jo Rabbits<A>Ok. Thank you. To Confirm 3 tickets for Jo Jo Rabbit at 7:30 PM at Cinemark 20<U>Yes that is correct. Thank you<PN>book_tickets<PAN>name.movie<PAV>Jo Jo Rabbit<PAN>name.theater<PAV>Cinemark 20<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>7:30 PM<PAN>date.showing<PAV>today<PAN>seating<PAV>any"	[A]Ok. Tickets have been purchased. You will receive your tickets and receipt to the email on file	dlg-e0cb560e-e551-45fc-81e1-528aaffadbde
<PR>check_tickets<PRAN>status<PRAV>unavailable<C><U>I would like to get some movie tickets please.<A>Sure, do you know what movie you want?<U>Yes, I want birds of prey.<A>Which theater?<U>The stargazer five in Safford.<A>What day would you like to go?<U>This Saturday the 15th.<A>Do you have a preference of time?<U>Yes, we would like 11:00 AM.<PN>find_showtimes<PAN>name.movie<PAV>birds of prey<PAN>name.theater<PAV>The stargazer five<PAN>date.showing<PAV>This Saturday<PAN>time.preference<PAV>11:00 AM<PR>find_showtimes<PRAN>time.showing<PRAV>11:00 AM<A>OK, I have found an 11:00 AM showing of birds of prey.<U>That’s perfect, I will need five tickets.<PN>check_tickets<PAN>name.movie<PAV>birds of prey<PAN>name.theater<PAV>The stargazer five<PAN>num.tickets<PAV>five<PAN>time.showing<PAV>11:00 AM<PAN>date.showing<PAV>This Saturday<PAN>seating<PAV>any	[A]There are not five tickets together for the showing, would you like me to check another?	dlg-1600b435-e0d6-49e0-a9af-b5d12c7014f3
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<C><U>Hello, I want to know when the recent movie with Immortals with be aired and the locations.<PN>resolve_movie<PAN>name.movie<PAV>The movie with Immortals<PR>resolve_movie<PRAN>name.movie<PRAV>The Old Guard<A>Happy to help! Let me just confirm that the movie you're talking about is The Old Guard. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>The Old Guard<PAN>location<PAV>Los Angeles, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. The Old Guard is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Los Angeles, California.<U>What about the movie that features a corrupt politician and some people with no identities.<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>The movie about a corrupt politicians and the men with no identities<PR>resolve_movie<PRAN>name.movie<PRAV>6 Underground<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is 6 Underground. Are either of those the one you want?<U>Yes. 6 Underground is the title<A>Great let me check theaters.<U>OK.<PN>find_theaters<PAN>name.movie<PAV>6 Underground<PAN>location<PAV>Los Angeles, California	[A]I looks like 6 Underground is only playing at AMC Mountain 16.	dlg-54e0446b-d5b7-4d36-b2cf-833ca117ae7b
<U>OK, great. Thanks for your help today!<C><U>Hi! I'd like some information about what movies are playing in my area.<A>Sure. What movie would you like to see?<U>Well, I live in Petaluma, CA near the Boulevard 14 Cinema. Can you tell me what's showing there?<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>What's Mulan about?<A>Sure. What specifically would you like to know?<U>What's the general plot?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>Can you tell me both the critic and the audience review scores for Mulan?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<A>Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.<U>Actually, I think I might like No Time to Die more than Mulan, so I'm going to go with that.<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Boulevard 14 Cinema<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>7:30pm<PRAV>10:55pm<A>OK. No Time To Die is playing 4:00pm, 7:30pm, and 10:55pm. Which time would you like?<U>The 10:55pm works for me. It's just my friend and I.<A>All right. Let me confirm that you’d like two tickets for No Time To Die at Boulevard 14 Cinema tonight at 10:55pm. Is that all correct?<U>Yup, you got it!<A>Is it OK to go ahead and purchase these tickets?<U>Sure, go ahead.<PN>book_tickets<PAN>num.tickets<PAV>two<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>10:55pm<PR>book_tickets<PRAN>status<PRAV>success<A>OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?<U>Will the email tell me how to get the actual tickets?<A>The email will provide up to three options for your tickets: print at home, electronic tickets, or an option to pick them up at the theater.	[A]OK. Enjoy your movie!	dlg-d6ec0972-571a-4300-b4d2-276811ac811f
<U>Yes.<C><U>I'd like to get some movie tickets for tonight at AMC Mountain 16.<A>No problem. Is there a particular type of movie you’re looking for?<U>I'd like an action movie.<A>Sure. I can help with that. Let me check listings at AMC Mercado 24.<U>No, I wanted AMC Mountain 16.<A>Oh, sorry about that. So you’re interested in action films at AMC Mountain 16, right?<U>Yes, that's right.<PN>find_movies<PAN>name.genre<PAV>action<PAN>name.theater<PAV>AMC Mountain 16<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PN>find_showtimes<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>No Time To Die<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>OK. I see one action movie playing at AMC Mountain 16: No Time To Die. Remaining showtimes are 4:30pm, 6:40pm and 9:10pm. Does any of those work?<U>Yes, 9:10 pm would be perfect!<A>Great. And how many tickets?<U>my best friend, a coworker and I<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?<U>Yes, all is correct.<A>Is it OK to go ahead and purchase these tickets?	[PN]book_tickets[PAN]name.movie[PAV]No Time To Die[PAN]name.theater[PAV]AMC Mountain 16[PAN]time.showing[PAV]4:30pm[PAN]num.tickets[PAV]three[PAN]date.showing[PAV]tonight	dlg-bb3dd984-abc0-4ed8-bf95-a7ced50eb3be
<U>Some tickets, please?<C><U>Hi!<A>Hello, what can I help you find today?	[A]Okay! What movie?	dlg-348acc25-0e80-4b45-a7f0-abfffb18d4dd
<U>Yes<C><U>Hi. I would like to order movie tickets.<A>Okay. Which film are you interested in seeing?<U>The Gentlemen<A>Okay. Where would you like me to search for theaters playing The Gentlemen?<U>Amherst<PN>find_theaters<PAN>name.movie<PAV>The Gentlemen<PAN>location<PAV>Amherst<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark<PRAV>Greenfield<A>Alright. The Gentlemen is playing at Cinemark and Greenfield. Which theater are you interested in?<U>Cinemark<A>Cinemark is playing The Gentleman in IMAX and standard. Which experience are you interested in?<U>Standard.<PN>find_showtimes<PAN>name.movie<PAV>The Gentleman<PAN>name.theater<PAV>Cinemark<PAN>date.showing<PAV>today<PAN>type.screening<PAV>standard<PR>find_showtimes<PRAN>time.showing<PRAV>6:00 PM<PRAV>8:00 PM<A>Okay. Cinemark is showing The Gentleman at 6:00 PM and 8:00 PM. Which showtime would you like?<U>6:00 PM<A>Alright. How many tickets would you like?<U>Two<A>Is that two adult tickets?	[A]Okay. Just to confirm, you would like two adult tickets to see The Gentleman in a standard show at 6:00 PM at the Cinemark theater, is that correct?	dlg-826e771a-c593-4c78-8bbc-da57ac723580
<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<C><U>Hey there! I need to book me a ticket.<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem:<PRAV>10:05pmFamily Jewels:<PRAV>8:10pmShuttered:<PRAV>9:00pmBeyond the Storm:<PRAV>8:30pmBackcountry:<PN>find_theaters<PAN>name.movie<PAV>Not My Problem:<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>name.movie<PAV>10:05pmFamily Jewels:<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>name.movie<PAV>8:10pmShuttered:<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<PN>find_theaters<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_theaters<PAN>name.movie<PAV>8:30pmBackcountry:<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pmFamily<PN>find_showtimes<PAN>name.movie<PAV>10:05pmFamily Jewels:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pmShuttered:<PN>find_showtimes<PAN>name.movie<PAV>8:10pmShuttered:<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>3:00pm<PRAV>5:45<PRAV>9:00pmBeyond<PN>find_showtimes<PAN>name.movie<PAV>9:00pmBeyond the Storm:<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30pm<PRAV>6:10pm<PRAV>8:30pmBackcountry:<PN>find_showtimes<PAN>name.movie<PAV>8:30pmBackcountry:<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:10pm<PRAV>7:30pm<PRAV>10:15pm<PRAV>5:00 pm<PRAV>9:00 pm<A>Hi sir here the movies running now Not My Problem: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pmFamily Jewels: AMC Holiday Theater - 2:00pm - 5:00pm - 8:10pmShuttered: AMC Holiday Theater - 3:00pm - 5:45 - 9:00pmBeyond the Storm: Cinemark Downtown - 1:30pm - 3:40 - 6:10pm - 8:30pmBackcountry: Cinemark Downtown - 4:10pm - 7:30pm - 10:15pm<U>Show me the details of Not my problem movie.<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem:<PAN>attribute<PAV>name.genre	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem:[PAN]attribute[PAV]rating.movie	dlg-ac6ca376-ab65-43f8-a2c6-36f65bc06668
<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<C><U>I would like some help on getting some tickets.<A>Ok, what is your location?<U>Spring Hills Kansas<A>Do you have a specific theater you would like to go to?<U>Not really, I just would like times for Not My Problem and for Family Jewels.<PN>find_showtimes<PAN>name.movie<PAV>Not My Problem<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1pm<PRAV>3:55pm<PRAV>7pm<PRAV>10:05pm<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pm<A>Not My Problem: AMC Holiday Theater - 1pm - 3:55pm - 7pm - 10:05pm Family Jewels: AMC Holiday Theater - 2:00pm - 5:00pm - 8:10pm<U>Close times! Can you tell me more about Family Jewels?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person	[PN]get_movie_attribute[PAN]name.movie[PAV]Family Jewels[PAN]attribute[PAV]name.person	dlg-7ab84490-0c83-4a4d-93f3-787d276b7d6b
<U>Yes want to go Dr. Do little<C><U>would like to go to movie tomorrow<A>Sure do you have a movie in mind	[PN]find_theaters[PAN]name.movie[PAV]Dr. Do little[PAN]location[PAV]nearby	dlg-07e64725-e8a7-4ff6-b9c6-af34c0252f6f
<U>How do I get my tickets?<C><U>My friend and I are bored and want to see a movie, can you tell me what is playing in Spring Hills, Kansas?<PN>find_movies<PAN>location<PAV>Spring Hills, Kansas<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Family Jewels<PRAV>Shuttered<PRAV>Beyond the Storm<PRAV>Backcountry<A>Sure, you have a few options: Not My Problem, Family Jewels, Shuttered, Beyond the Storm, and Backcountry.<U>I think I've heard of Family Jewels, what is it about again?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 69%<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist-<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Family Jewels - Romantic Comedy - rated R - Rotten Tomatoes 69% - A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist- Stars Melissa McCarthy and Ryan Reynolds.<U>Ok, maybe that doesn't sound good. How about Beyond the Storm?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond the Storm<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<A>Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.<U>I think my friend and I would like that one. When is it playing?<PN>find_theaters<PAN>location<PAV>Spring Hills, Kansas<PAN>name.movie<PAV>Beyond the Storm<PR>find_theaters<PRAN>name.theater<PRAV>Cinemark Downtown<PN>find_showtimes<PAN>name.movie<PAV>Beyond the Storm<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>1:30pm<PRAV>3:40<PRAV>6:10pm<PRAV>8:30pm<A>It's playing at the Cinemark Downtown at 1:30pm, 3:40, 6:10pm, and 8:30pm.<U>Lets shoot for the 8:30 time.<A>Very well, are you ready to complete your order?<U>Can you please confirm all the details?<A>Sure. You are buying 2 tickets for Beyond the Storm, playing tonight at 8:30pm at the Cinemark Downtown theater in Spring Hills, Kansas. Is this correct?<U>That sounds correct to me.<A>Great, are you ready to purchase?<U>Yes please purchase.<A>Your order is complete, do you have any questions?	[PN]book_tickets[PAN]name.movie[PAV]Beyond the Storm[PAN]name.theater[PAV]Cinemark Downtown[PAN]num.tickets[PAV]2[PAN]time.showing[PAV]8:30[PAN]date.showing[PAV]tonight[PAN]seating[PAV]any	dlg-90ed7a2c-fb13-4f8b-81b5-272efb3be2e4
<U>Now I remember it. It is Knives Out.<C><U>Hi! I would like to get some theater information for a few films in Lansdale, PA. First movie is based on a classic novel and about four sisters.<PN>resolve_movie<PAN>name.movie<PAV>Based on the classic novel about four sisters.<PR>resolve_movie<PRAN>name.movie<PRAV>Little Women<A>Happy to help! Let me just confirm that the movie you're talking about is Little Women . Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Little Women<PAN>location<PAV>Lansdale, PA<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Little Women is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Lansdale, PA.<U>Could you help me remember the name of another movie? I can't remember the title of it but it is a mystery movie about a wealthy man's death.<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>Mystery movie about a wealthy man's death.<PR>resolve_movie<PRAN>name.movie<PRAV>Knives Out<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Knives Out . Are either of those the one you want?	[A]Great let me check theaters.	dlg-ea1ff6ba-3fb7-4b6e-94dd-40b4add43139
<PR>find_showtimes<PRAN>time.showing<PRAV>12:20 pm<C><U>I was hoping to see 1917 tomorrow with a group of friends, mind helping me out?<A>Of course, which theater would you like to visit to see 1917?<U>I think Cinemark Movies 8 could work, the one in Albuquerque NM.<A>For Cinemark Movies 8, what kind of screening and showtime would you ideally prefer?<U>Me and my friends would like to get something early, like at 12 pm and an IMAX screening.<A>I'm sorry, but this theater does not have IMAX screenings for 1917 tomorrow.<U>Really, then is their a nearby theater that does have IMAX screens?<PN>find_theaters<PAN>name.movie<PAV>1917<PAN>type.screening<PAV>IMAX<PAN>location<PAV>Albuquerque NM<PR>find_theaters<PRAN>name.theater<PRAV>Regal Winrock IMAX & RPX<A>Regal Winrock IMAX & RPX is a theater equipped with IMAX screens in your area of choice.<U>Does that theater have screenings for 1917 tomorrow at 12pm?<PN>find_showtimes<PAN>name.movie<PAV>1917<PAN>name.theater<PAV>Regal Winrock IMAX & RPX<PAN>date.showing<PAV>tomorrow<PAN>time.preference<PAV>12 pm<PAN>type.screening<PAV>IMAX	[A]For tomorrow, 1917 will be played on a IMAX screen at this theater at 12:20 pm, this is the earliest screening.	dlg-61afaf63-d1f0-459c-b222-ab78be93f126
