"<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<C><U>Good morning! I think I would like to see a movie tomorrow.<A>Wonderful! I can certainly help with booking that for you.<U>The problem is I am not sure what I want to see. I am in the mood for either a romantic comedy or horror film.<PN>find_movies<PAN>name.genre<PAV>romantic comedy or horror<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>'Family Jewels'<PRAV>'Shuttered'<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Romantic Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist""<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes score of 69%<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>'Family Jewels'<PAN>attribute<PAV>name.person"	"[A]There are movies showing in both those genres. 'Family Jewels' is a Romantic Comedy with a Rotten Tomatoes score of 69%. Synopsis of this movie is ""a famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist"" It stars Melissa McCarthy and Ryan Reynolds."	dlg-7cf36373-91dd-4782-b548-d20522f007dd
<U>i prefer the theater upstairs<C><U>Good evening<A>Good evening how may i help you<U>I want to book a ticket<A>Okay that is nice<U>Yeah<A>What is your preferred choice of movie<U>Well i like action movies and also Drama.<A>Which one will you like to see today<U>I will like to see an action movie<A>Okay action is nice.What theater do you like going to.	[A]Okay how many persons do you want to purchase ticket for	dlg-d4af172b-1708-4d2a-9f72-fea7c5f55fc6
<U>Hello. I would like to purchase some tickets for tonight to AMC Mountain 16.	[A]No problem. Is there a particular type of movie you’re looking for?	dlg-a9cf771c-498e-4bfe-84a6-671b75cee4bd
<U>7:10 pm sounds good for me.<C><U>Hi. I would like to get 2 tickets.<A>Sure. What movie would you like to see?<U>I haven't decided that yet. Can you suggest me any recent movie playing around here.<A>No problem. Can you tell me what city you’re in?<U>I'm in Oak Valley, Akansas.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?<U>I am familiar with No Time To Die but what. is the movie Emma about?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Emma<PR>get_movie_attribute<PRAN>description.plot<PRAV>In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her<A>OK. Here’s the description of Emma: In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her.<U>That sounds intriguing. Could you book two tickets for Emma?<PN>find_theaters<PAN>location<PAV>Oak Valley, Arkansas<PAN>name.movie<PAV>Emma<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<PN>find_showtimes<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK. Emma is playing at AMC Mercado 24 today at 5:00pm, 7:10pm, and 9:45pm. Which time would you like?	[A]All right. Let me confirm that you’d like two tickets for Emma at AMC Mercado 24 tonight at 7:10pm. Is that all correct?	dlg-4e494a26-2f97-45b2-b4e4-dc6b003939e8
<U>in which theater?<C><U>hi,booking agent<A>hi sir,how can i help you?<U>shall i know the movie list<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem,Family<PRAV>Problem,Family Jewels,Shuttered,Beyond<PRAV>Jewels,Shuttered,Beyond<PRAV>Jewels,Shuttered,Beyond the Storm,Back<PRAV>Storm,Back Country.<A>Not My Problem,Family Jewels,Shuttered,Beyond the Storm,Back Country.<U>is there any comedy film?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>comedy<A>Not My Problem is available	[PN]find_theaters[PAN]name.movie[PAV]Not My Problem[PAN]location[PAV]nearby	dlg-0e6766c6-ca8f-4399-9d71-fa15a44e726a
<U>I heard the new James Bond movie is out, i will like to see it.<C><U>I will like to go to see a movie tonight<A>OK. And where will you be seeing the movie?<U>I will like somewhere close to me here<A>OK. Can you give me the city and state?<U>I am in Creek's End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	[A]Ok. I think you are talking about No Time To Die. Does that sound ?	dlg-d81a34fd-3ba0-4d45-a7f3-83d11738f9c7
<U>What's Not My Problem rated on Rotten Tomatoes?<C><U>I'd like to see a movie today.<A>I can help with that! Do you know what you want to see, or would you like some suggestions?<U>What movies are appropriate for a teenager?<PN>find_movies<PAN>description.other<PAV>movies are appropriate for a teenager<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Not My Problem<PRAV>Beyond the Storm<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>PG-13<A>Let me look... I see that Not My Problem and Beyond the Storm are playing right now, and are rated PG-13.<U>What's Not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<PN>get_movie_attribute<PAN>name.movie<PAV>Not My Problem<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Noah Schnapp<A>Not My Problem - Comedy - A troubled teen tries to convince his depressed elderly neighbor that things are not what they seem. - Stars Matt Damon and Noah Schnapp.	[PN]get_movie_attribute[PAN]name.movie[PAV]Not My Problem[PAN]attribute[PAV]review.critic	dlg-1c6ebba5-8397-4035-86d6-b5815d5f5dfe
<U>With VISA credit card<C><U>Hello what are the top movies at the cinema today?<PN>find_movies<PAN>date.release<PAV>today<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Avengers<A>Today the most anticipated is Avengers<U>Where are they playing?<A>Currently it's only playing at Downtown Bellevue<U>Can you book tonight 2 tickets?<PN>find_showtimes<PAN>name.movie<PAV>Avengers<PAN>date.showing<PAV>Today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>5pm<PRAV>7pm<PRAV>10 pm<A>There is a 5pm 7pm and 10 pm viewing<U>Please 2 tickets for the 7 pm<A>Which screening type would you like<U>What are the options?<A>IMAX or 3D<U>I prefer the IMAX<A>And where would you like to sit<U>The furtherest back seats would be good<A>Just to confirm thats 2 tickets for Avengers at Downtown Bellevue, IMAX 7pm viewing back row<U>Yes that is correct would you book it please<PN>book_tickets<PAN>name.movie<PAV>Avengers<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>7 pm<PAN>date.showing<PAV>Today<PAN>seating<PAV>back row<PR>book_tickets<PRAN>status<PRAV>success<A>Yes it has been booked how would you like to pay?	[A]Your confirmation has been emailed	dlg-df71fea2-4c2c-4894-bfd6-8f811a99ab01
<PR>book_tickets<PRAN>status<PRAV>success<C><U>Hi, I'd like to buy tickets for a movie.<A>Okay, which movie would you like to see?<U>I'd like to see Knives Out<A>Okay, at what time would you like to see it?<U>6:30 pm<A>Okay and at what theater?<U>AMC West Chester<A>Okay, let me check and see what I can find<U>You know what, on second thought I don't want to see that movie<A>Oh, okay, so you don't want me to search for tickets?<U>Correct, I'm more interested in seeing 1917<A>Okay, and would you like to see it at the same time?<U>Yes<A>And at the same theater?<U>Yes<A>And would you like digital or IMAX?<U>Digital and two tickets please<A>Okay, I have 2 tickets for 1917 at 6:30 pm at AMC West Chester, is that correct?<U>Yes<PN>book_tickets<PAN>name.movie<PAV>1917<PAN>name.theater<PAV>AMC West Chester<PAN>num.tickets<PAV>2<PAN>time.showing<PAV>6:30 pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Okay, your tickets are booked. Is there anything else I can help you with?	dlg-16371375-7c89-4d3a-bbb3-1bea33188221
<U>Is this movie playing in any special screenings?<C><U>Hello, I am looking to see if Ip Man 4: The Finale is playing at Cinemark West Valley City in West Valley City, UT.<A>No it is not.<U>What other movies are playing there?<PN>find_movies<PAN>name.theater<PAV>Cinemark West Valley City<PAN>location<PAV>West Valley City, UT<PR>find_movies<PRAN>name.movie<PRAV>Bad Boys for Life<PRAV>Dolittle<PRAV>1917<PRAV>The Turning<PRAV>Jumanji: The Next Level<PRAV>Star Wars: The Rise of Skywalker<PRAV>Frozen 2<PRAV>Like A Boss<PRAV>Underwater<PRAV>Spies In Disguise<PRAV>Jojo Rabbit<A>Other movies include:1.) Bad Boys for Life (R) 2 hrs 4 mins2.) Dolittle (PG) 1 hr 46 mins3.) 1917 (R) 1 hr 59 mins4.) The Turning (PG-13) 1 hr 35 mins5.) Jumanji: The Next Level (PG-13) 2 hrs 5 mins6.) Star Wars: The Rise of Skywalker (PG-13) 2 hrs 22 mins7.) Frozen 2 (PG) 1 hr 44 mins8.) Like A Boss (R) 1 hr 23 mins9.) Underwater (PG-13) 1 hr 35 mins10.) Spies In Disguise (PG) 1 hr 42 mins11.) Jojo Rabbit (PG-13) 1 hr 48 mins<U>Let's try another theater then. Is Ip Man 4: The Finale playing anywhere else nearby?<PN>find_theaters<PAN>name.movie<PAV>Ip Man 4: The Finale<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Megaplex Theatres at Jordan Commons<A>Yes, Megaplex Theatres at Jordan Commons, 9335 State St, Sandy, UT 84070 is showing that movie today.<U>Great, what are the showtimes?<PN>find_showtimes<PAN>name.movie<PAV>Ip Man 4: The Finale<PAN>name.theater<PAV>Megaplex Theatres at Jordan Commons<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>5:20 PM<PRAV>10:30 PM<A>Showtimes include 5:20 PM and 10:30 PM	[A]The only screenings available is as follows:2D LUXURYClosed Caption, Descriptive Video Services, Reserved Seating	dlg-58d30121-cb77-47d2-a7a9-26eda663eab0
<U>Yeah i'snt that the truth.<C><U>Hi good afternoon I would like to buy two tickets to bad boys for life.<A>Good day to you too and yes how many tickets would you want?<U>i would like 3 tickets please.<A>okay.<U>I was told this is the only theatre around here showing this movie today, I tried going to a couple of theatre in hunt valley but it was showing there.<A>yeah we get the movies early here before they get it any other place.	[A]your total would be 25.63	dlg-3c147f3c-8c0d-416f-9692-c6d0a3bc82c3
<U>Hello, How are you?	[A]Great. What can I do for you?	dlg-5289044d-e5d6-4293-a1ea-5d4e46a1728c
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I would love for you to help me get some movie tickets for tonight.<A>Sure. What movie would you like to see?<U>I want to know what's at Boulevard 14 Cinema in Petaluma now.<PN>find_movies<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>location<PAV>Petaluma, California<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mulan<PRAV>Emma<A>OK. Boulevard 14 Cinema in Petaluma, California is showing three movies: No Time To Die, Mulan, and Emma.<U>What about Mulan?<A>Sure. What specifically would you like to know?<U>I want to know about the plot of the movie.<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>description.plot<PRAV>Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way<A>OK. Here’s the synopsis of Mulan: Accompanied by her dragon, Mushu, Mulan uses her smarts to help ward off a Hun invasion, falling in love with a dashing captain along the way.<U>What were the perceptions of the movie and how was it received?<PN>get_movie_attribute<PAN>attribute<PAV>review.audience<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.audience<PRAV>92%<PN>get_movie_attribute<PAN>attribute<PAV>review.critic<PAN>name.movie<PAV>Mulan<PR>get_movie_attribute<PRAN>review.critic<PRAV>87% Rotten Tomatoes<A>Mulan has an 87% Rotten Tomatoes score and a 92% audience rating.<U>I'd choose No Time to Die because that one sounds more like me.<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>Boulevard 14 Cinema<PR>find_showtimes<PRAN>time.showing<PRAV>4:00pm<PRAV>7:30pm<PRAV>10:55pm<A>OK. No Time To Die is playing 4:00pm, 7:30pm, and 10:55pm. Which time would you like?<U>Get the one for 10:55 PM. It'll just be my friend and I.<A>All right. Let me confirm that you’d like two tickets for No Time To Die at Boulevard 14 Cinema tonight at 10:55pm. Is that all correct?<U>That's right!<A>Is it OK to go ahead and purchase these tickets?<U>Yes, please.<PN>book_tickets<PAN>num.tickets<PAV>two<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>Boulevard 14 Cinema<PAN>date.showing<PAV>tonight<PAN>time.showing<PAV>10:55pm	[A]OK. Your tickets are purchased and details for how to proceed have been sent to your email address. Can I help with anything else?	dlg-dc64d1fe-2edf-4462-9f87-1d3dba725e88
<U>That's alright, thanks for checking. What are the showtimes for Birds of Prey at AMC Mountain 16?<C><U>Hi, I'm looking to see a movie in Baltimore, Maryland. Do you know which theaters are playing the movie with harley quinn?<PN>resolve_movie<PAN>name.movie<PAV>the movie with harley quinn<PR>resolve_movie<PRAN>name.movie<PRAV>Birds of Prey<A>Happy to help! Let me just confirm that the movie you're talking about is Birds of Prey. Is that right?<U>That’s right.<PN>find_theaters<PAN>name.movie<PAV>Birds of Prey<PAN>location<PAV>Baltimore, Maryland<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. Birds of Prey is playing at both AMC Mountain 16 and Cinemark Plaza 24 in Baltimore, Maryland.<U>Do you know if either theater is also playing the horror movie that takes place on a tropical island?<A>Let me check.<PN>resolve_movie<PAN>name.movie<PAV>the horror movie that takes place on a tropical island<PR>resolve_movie<PRAN>name.movie<PRAV>Fantasy Island<A>I found some titles that might be what you're thinking of. The first is Long Way To Darkness. The second is Fantasy Island. Are either of those the one you want?<U>Yeah, I think it was Fantasy Island.<A>Great let me check theaters.<U>OK.<PN>find_theaters<PAN>name.movie<PAV>Fantasy Island<PAN>location<PAV>Baltimore, Maryland<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<A>I looks like Fantasy Island is only playing at AMC Mountain 16.<U>What about the pixar movie with the blue elves?<A>the pixar movie with the blue elves. Let me see what I can find.<PN>resolve_movie<PAN>name.movie<PAV>the pixar movie with the blue elves<PR>resolve_movie<PRAN>name.movie<PRAV>_empty_<A>Unfortunately I cannot find any movie title that matches your description.	[PN]find_showtimes[PAN]name.theater[PAV]AMC Mountain 16[PAN]name.movie[PAV]Birds of Prey	dlg-d422bd0f-ed87-42d7-a857-15995464b7b7
<U>hello, iam looking for the movie from my current location	[PN]resolve_movie[PAN]name.movie[PAV]{}	dlg-3cd8d204-e893-4ca4-8b04-cd5d229e1d27
