<PR>get_movie_attribute<PRAN>name.person<PRAV>James Cameron<C><U>hey there, I need some movie tickets.<A>I can help with that, what movie?<U>Whatever is new, something exciting like action or scary, anything like that showing?<A>I can check it out! What is your location?<U>I am in the Spring Hills Kansas area.<PN>find_movies<PAN>description.other<PAV>new, something exciting<PAN>location<PAV>Spring Hills Kansas<PR>find_movies<PRAN>name.movie<PRAV>Shuttered<PRAV>Beyond The Storm<A>Ok, I found Shuttered and Beyond The Storm.<U>ok, can I get some details?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated R<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 61%<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>rated PG-13<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 81%<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.person	[A]Sure, Shuttered - Horror - rated R - Rotten Tomatoes 61% - Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm. An then Beyond The Storm - Action - rated PG-13 - Rotten Tomatoes 81% - Fishing the North Sea gets ugly as Captain John’s crew faces not only severe weather but a traitor on board - directed by James Cameron.	dlg-dab573e7-61dd-4a5b-ab66-286f1aa14fa3
<U>Yes, that is good.<C><U>Let’s go see a movie tonight!<A>Sure. What movie would you like to see?<U>I’m not sure, can you help me out?<A>No problem. Can you tell me what city you’re in?<U>Oak Valley, Arkansas is my city.<PN>find_movies<PAN>location<PAV>Oak Valley, Arkansas<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Emma<A>Ok. There are a couple of popular films out in your area: No Time To Die and Emma. Do either of those sound interesting?<U>I know of No Time to Die, what’s Emma about though?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Emma<PR>get_movie_attribute<PRAN>description.plot<PRAV>In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her<A>OK. Here’s the description of Emma: In this adaptation of Jane Austen's classic novel, pretty socialite Emma Woodhouse, played by Gwyneth Paltrow, entertains herself by playing matchmaker for those around her.<U>That sounds so interesting, can I have two tickets to that?<PN>find_theaters<PAN>location<PAV>Oak Valley, Arkansas<PAN>name.movie<PAV>Emma<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mercado 24<PN>find_showtimes<PAN>date.showing<PAV>tonight<PAN>name.movie<PAV>Emma<PAN>name.theater<PAV>AMC Mercado 24<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<A>OK. Emma is playing at AMC Mercado 24 today at 5:00pm, 7:10pm, and 9:45pm. Which time would you like?<U>Let’s go with 7:10 pm.<A>All right. Let me confirm that you’d like two tickets for Emma at AMC Mercado 24 tonight at 7:10pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-dcf9cf94-0962-4991-b944-6e6b5cd7c911
<U>Jeff, Sarah, and myself will be going.<C><U>I'd would really love to go to the movies.<A>OK.Do you have anything in mind?<U>I love action movies. I've had a tough day and need something to forget my stress.<A>Sure. And what city are you looking in?<U>I'm looking in Santa Barbara, California.<PN>find_movies<PAN>location<PAV>Santa Barbara, California<PAN>name.genre<PAV>action<PR>find_movies<PRAN>name.movie<PRAV>No Time To Die<PRAV>Mad Max<A>It looks like there are two action movies playing in that area at the moment: No Time To Die and Mad Max<U>Oh wow Mad Max. Is it the original?<PN>get_movie_attribute<PAN>attribute<PAV>date.release<PAN>name.movie<PAV>Mad Max<PR>get_movie_attribute<PRAN>date.release<PRAV>October 12, 1979<A>The release date for Mad Max was October 12, 1979.<U>Oh my gosh it is the original!!!<A>That’s great.<U>What are the showtimes for today? Where is it playing?<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PAN>name.movie<PAV>Mad Max<PR>find_theaters<PRAN>name.theater<PRAV>State Street Theater<PN>find_showtimes<PAN>name.movie<PAV>Mad Max<PAN>date.showing<PAV>today<PAN>name.theater<PAV>State Street Theater<PR>find_showtimes<PRAN>time.showing<PRAV>4:40pm<PRAV>7:10pm<PRAV>9:30pm<A>OK. Mad Max is playing at State Street Theater in Santa Barbara, California. Showtimes are 4:40pm, 7:10pm, and 9:30pm.<U>9:30pm works perfectly. Is there anything left to figure out before we buy the tickets?<A>OK. So far you’ve decided on the 9:30pm showing of Mad Max at State Street Theater today. I just need the number of tickets and then we can make the purchase.	[A]All right. Let me confirm one last time. You’d like three tickets for the 9:30pm showing of Mad Max at State Street Theater today. Is that all correct?	dlg-302b3944-9740-4e9a-bb30-f4a9bf4c7224
<U>2<C><U>Hello<A>Good afternoon, can I help you?<U>I'd like to go to a movie today.<A>Ok, what type of movie would you like to see?<U>I would like to see a horror movie.<PN>find_movies<PAN>location<PAV>near you<PAN>name.genre<PAV>horror<PR>find_movies<PRAN>name.movie<PRAV>Brahms: The Boy II<PRAV>Gretel & Hansel<A>Let me see what is playing near you. You may be interested in Brahms: The Boy II.<U>What is it about?<PN>get_movie_attribute<PAN>name.movie<PAV>Brahms: The Boy II<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>It is a mystery slasher about a family and a young male doll<A>It is a mystery slasher about a family and a young male doll.<U>I guess that sounds arlight. Are there any other horror movies playing.<A>Gretel & Hansel is also playing.<U>I've heard of that movie. I'd like to see it.<PN>find_theaters<PAN>name.movie<PAV>Gretel & Hansel<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>Premiere Theater 7<PRAV>Drexel Theaters<A>It is playing at Premiere Theater 7 and Drexel Theaters, which theater would you prefer?<U>Premiere Theater 7<PN>find_showtimes<PAN>name.movie<PAV>Gretel & Hansel<PAN>name.theater<PAV>Premiere Theater 7<PAN>date.showing<PAV>today<PAN>time.preference<PAV>today<PR>find_showtimes<PRAN>time.showing<PRAV>7:20 PM<PRAV>9:20 PM<A>Would you like to go to the 7:20 PM or 9:20 PM showing?<U>9:20 PM<A>There is only a standard screening available, is that alright?<U>That's fine.<A>How many tickets would you like?	[A]Ok, to confirm, you would like 2 tickets to see Gretel and Hansel at Premiere Theater 7 at 9:20 PM.	dlg-d961d93e-5f12-4e27-adc1-e60f5c162677
<PR>book_tickets<PRAN>status<PRAV>success<C><U>I'm in the mood to watch a movie.<A>Okay. Do you know what movie you want to see?<U>I don't know. I'm trying to choose.<A>Are there any movies you would like to learn more about?<U>I want to know what score Shuttered has on Rotten Tomatoes.<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Shuttered has a 61% rating on Rotten Tomatoes<A>Shuttered has a 61% rating on Rotten Tomatoes.<U>What type of movie is Shuttered?<PN>get_movie_attribute<PAN>name.movie<PAV>Shuttered<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Horror<A>Shuttered is in the Horror genre.<U>I thought so. Who stars in Family Jewels again?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Melissa McCarthy<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>name.person<PR>get_movie_attribute<PRAN>name.person<PRAV>Ryan Reynolds<A>Melissa McCarthy and Ryan Reynolds are the stars of Family Jewels.<U>I want to watch Family Jewels then.<A>Okay. What theater would you like to watch it at?<U>AMC Holiday Theater.<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>2:00pm<PRAV>5:00pm<PRAV>8:10pm<A>The available showtimes for Family Jewels today are 2:00pm, 5:00pm, and 8:10pm. What showtime would you like?<U>Today at 8:10pm is good enough. I also only need one ticket.<PN>find_theaters<PAN>name.movie<PAV>Family Jewels<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday Theater<A>You want 1 ticket to see Family Jewels at AMC Holiday Theater at 8:10pm. Is this right?<U>Yes, that's it.<A>Would you like me to order the tickets?<U>Please do.<PN>book_tickets<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday Theater<PAN>num.tickets<PAV>one<PAN>time.showing<PAV>8:10pm<PAN>date.showing<PAV>today<PAN>seating<PAV>any	[A]Your tickets are confirmed and they’ve been sent to your email address.	dlg-bdcbae8f-2c3c-49aa-a3b1-3142dad1b9d9
<PR>find_showtimes<PRAN>time.showing<PRAV>11:50am<PRAV>2:30pm<PRAV>5:05pm<PRAV>7:40pm<PRAV>10:15pm<C><U>hi can you check movie frozen 2?<A>movie frozen 2 is on theater now.<U>which theater near me movie frozen 2 is showing?<A>there are 5 theater near you movie frozen 2 is showing.<U>what is the nearest theater from me frozen 2 is showing?<PN>find_theaters<PAN>name.movie<PAV>frozen 2<PAN>location<PAV>near you<PR>find_theaters<PRAN>name.theater<PRAV>X mark Apple Valley<A>X mark Apple Valley<U>Do they have tickets for Friday for Frozen 2?<PN>check_tickets<PAN>name.movie<PAV>frozen 2<PAN>name.theater<PAV>X mark Apple Valley<PAN>num.tickets<PAV>one<PAN>date.showing<PAV>Friday<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>Yes, It shows available.<U>can you check if they have 4 tickets available, If yes go ahead and book?<PN>check_tickets<PAN>name.movie<PAV>frozen 2<PAN>name.theater<PAV>X mark Apple Valley<PAN>num.tickets<PAV>4<PAN>date.showing<PAV>Friday<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>yes they have available.<U>can you check again if they have 6 tickets available?<PN>check_tickets<PAN>name.movie<PAV>frozen 2<PAN>name.theater<PAV>X mark Apple Valley<PAN>num.tickets<PAV>6<PAN>date.showing<PAV>Friday<PAN>seating<PAV>any<PR>check_tickets<PRAN>status<PRAV>available<A>yes. available.<U>what are the show times?<PN>find_showtimes<PAN>name.movie<PAV>frozen 2<PAN>name.theater<PAV>X mark Apple Valley<PAN>date.showing<PAV>Friday<PAN>time.preference<PAV>any	[A]11:50am2:30pm5:05pm7:40pm10:15pm	dlg-1c69529a-ee80-4721-9d47-1edf0666457b
<U>Anywhere is fine.<C><U>Could I get some movie tickets?<A>Sure. What movie do you want to see?<U>1917<A>Where would you like to watch it.<U>In Green Bay, Wisconsin.<A>What time would you like to watch the movie?<U>8:00 PM<A>What screening type would you like?<U>IMAX<A>How many tickets will you need?<U>Wait. I'd like to change the screening type.<A>Okay. What screening type would you like instead?<U>3D.<A>Okay. How many tickets will you need?<U>4 adult tickets.<A>Where would you like to sit in the theater?	[A]You want 4 tickets to see 1917 in Green Bay at 8:00 PM over a 3D screen. Is this right?	dlg-7aa73280-6408-413e-b655-a7c7783097d4
<U>In the evening<C><U>I am thinking of watching a movie<A>Sounds like a plan<U>I love movies that make me laugh and forget about my worries<A>Comedy does take the stress away, any current listings on your mind?<U>I am not sure whether I should rent a movie or go to theaters<PN>find_movies<PAN>description.other<PAV>movies that make me laugh and forget about my worries<PAN>date.release<PAV>2019 releases<PR>find_movies<PRAN>name.movie<PRAV>Knives out<PRAV>Playing with Fire<PRAV>Parasite<A>I have a few suggestions for you, Knives out, Playing with Fire and Parasite are all 2019 releases<U>Tell me more about them<A>They are all comedy movies, you are bound to have a good laugh<U>Sounds great, I want to narrow it down to at least two<A>Not a problem, I would suggest Playing with Fire and Parasite<U>I think my friends would love to watch playing with fire<A>Perfect choice, would you like to rent it out or go to the movies?<U>I think we would like to go to the movies<A>Awesome, do you want me to assist you in getting the tickets?<U>Yes please, I would appreciate it<A>How many tickets do you need?<U>4<A>What time would you prefer to watch the movie?	[PN]book_tickets[PAN]name.movie[PAV]Playing with Fire[PAN]num.tickets[PAV]4[PAN]time.showing[PAV]In the evening[PAN]date.showing[PAV]today	dlg-febe5691-5043-4d60-8164-5cfa6b9fc0a9
<U>My kids and I would like to go see Mulan<C><U>Hey I need to go see a movie tonight<A>OK. And where will you be seeing the movie?<U>I am located in Creek's end, oregon<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?	[PN]find_theaters[PAN]name.movie[PAV]Mulan[PAN]location[PAV]Creek’s End, Oregon	dlg-68d6e3aa-072c-4a03-9fb3-375a57d18184
<PR>get_movie_attribute<PRAN>name.person<PRAV>Matt Damon<C><U>Hi, I need some movie Tickets<A>Ok, did you have a movie in mind?<U>A comedy for sure<A>Okay let me see what is playing<U>ok<PN>find_movies<PAN>name.genre<PAV>comedy<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>not My Problem<PRAV>Family Jewels<A>How about Family Jewels or Not my Problem?<U>Who is in not My Problem?<PN>get_movie_attribute<PAN>name.movie<PAV>not My Problem<PAN>attribute<PAV>name.person	[A]Matt Damon	dlg-96fde438-9c5c-4e6b-ba2f-a469a00d170e
<PR>book_tickets<PRAN>status<PRAV>success<C><U>what is playing at the movies?<PN>find_movies<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Frozen,Harley<PRAV>Frozen,Harley Quinn,Sonic<A>Frozen,Harley Quinn,Sonic.<U>I want to see Harley Quinn<A>which movie theater are you going to?<U>AMC<A>what time do you want to see the film?<U>3:00 PM<PN>find_showtimes<PAN>name.movie<PAV>Harley Quinn<PAN>name.theater<PAV>AMC<PAN>date.showing<PAV>today<PAN>time.preference<PAV>3:00 PM<PR>find_showtimes<PRAN>time.showing<PRAV>2:00 pm<A>2:00 pm got it,and how many tickets do you need?<U>just two<A>which day do you want to see the film?<U>Friday<A>will you be seeing it in IMAX?<U>yes please<A>Ok I have you for Harley Quinn at AMC at 2:00 PM for two,on Friday in IMAX is that correct?<U>I wanted it to be at 3:00 PM<A>oh ok I am sorry. I fixed it and have it as Harley Quinn at AMC,at 2:00 PM for two on Friday in IMAX is that correct?<U>yes it is<A>will you be paying debit or credit?<U>credit<PN>book_tickets<PAN>name.movie<PAV>Harley Quinn<PAN>name.theater<PAV>AMC<PAN>num.tickets<PAV>two<PAN>time.showing<PAV>2:00 pm<PAN>date.showing<PAV>Friday<PAN>seating<PAV>any	[A]I have booked your tickets enjoy your film!	dlg-66f77922-4a14-4f36-af29-7cb4123b8024
