<U>Purchase two tickets for Mulan for 4pm today.	[A]Do you want to purchase two tickets for Mulan at 6:10pm today?	dlg-f15a36b2-3c86-4397-9b71-76b70908dc8e
<PR>find_showtimes<PRAN>time.showing<PRAV>5:00pm<PRAV>7:10pm<PRAV>9:45pm<C><U>I would like to see a movie this evening.<A>OK. And where will you be seeing the movie?<U>Preferably somewhere near Creek's End, Oregon.<A>Creek’s End, Oregon. Got it. Is there a particular movie you have in mind?<U>My children seemed excited for that Mulan movie that came out.<PN>find_theaters<PAN>name.movie<PAV>Mulan<PAN>location<PAV>Creek’s End, Oregon<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>Sure. Disney seems like a great choice. In Creek’s End, Oregon, I see that Mulan is showing in two theaters: AMC Mountain 16 and AMC Mercado 24.<U>AMC Mercado 24 would be more convenient for me.<PN>find_showtimes<PAN>name.movie<PAV>Mulan<PAN>date.showing<PAV>tonight<PAN>name.theater<PAV>AMC Mercado 24	[A]No problem. It looks like tonight’s remaining showtimes for Mulan at AMC Mercado 24 are 5:00pm, 7:10pm, and 9:45pm. Which is best for you?	dlg-0c95e347-0042-4fd3-a5ae-26915c678553
<U>I tend to enjoy films that are eccentric and make me think. I often will check something out based on reviews. I am not a big fan of films that explore depressing or romantic topics.<C><U>Would you please find a movie that's currently in the theaters that I might enjoy?<A>Sure, is there anything in particular you like or dislike in a movie?	[PN]find_movies[PAN]description.other[PAV]I tend to enjoy films that are eccentric and make me think. I often will check something out based on reviews. I am not a big fan of films that explore depressing or romantic topics[PAN]location[PAV]nearby[PAN]name.genre[PAV]romantic	dlg-8f84f0b7-2f2b-4320-946f-4ebbcfc249ec
<U>Yes, you got it.<C><S><A>Hello. How can I help you?<U>I would like to go to the movies and I am interested in seeing the one about Bond saving a kidnapped scientist.<PN>resolve_movie<PAN>name.movie<PAV>the one about Bond saving a kidnapped scientist<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>Correct, that's right.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>The home of Lombard Street and street trolleys!<PN>resolve_location<PAN>location<PAV>The home of Lombard Street and street trolleys!<PR>resolve_location<PRAN>location<PRAV>San Francisco, California<A>OK. San Francisco, California. One moment.<U>You nailed it.<PN>find_theaters<PAN>name.movie<PAV>No Time To Die<PAN>location<PAV>San Francisco, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<A>OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in San Francisco, California. Do you have a preference?<U>AMC Mountain 16 would be most convenient as it is near downtown.<A>OK. Let me check showtimes at AMC Mountain 16.<U>Thanks. I will wail.<PN>find_showtimes<PAN>name.movie<PAV>No Time To Die<PAN>name.theater<PAV>AMC Mountain 16<PAN>date.showing<PAV>today<PAN>time.preference<PAV>any<PR>find_showtimes<PRAN>time.showing<PRAV>4:30pm<PRAV>6:40pm<PRAV>9:10pm<A>Remaining showtimes for No Time To Die are 4:30pm, 6:40pm and 9:10pm.<U>I will pick the 9:10pm.<A>Got it. And how many tickets?<U>I want three in total please.<A>All right. Let me confirm that you’d like three tickets for No Time To Die at AMC Mountain 16 tonight at 9:10pm. Is that all correct?	[A]Is it OK to go ahead and purchase these tickets?	dlg-220e83ed-099f-4ff3-8d4b-2d8a69faa6a8
<U>That's cool.<C><U>I would like to see a movie in Hillview Washington.<PN>resolve_location<PAN>location<PAV>Hillview Washington<PR>resolve_location<PRAN>location<PRAV>Hillview Washington<A>What type of movies do you want to see?<U>I prefer top rated movies.<PN>find_movies<PAN>location<PAV>Hillview Washington<PAN>name.theater<PAV>AMC Holiday theater<PR>find_movies<PRAN>name.movie<PRAV>'King Johnny'<PRAV>'Indulgent'<PN>find_theaters<PAN>location<PAV>nearby<PR>find_theaters<PRAN>name.theater<PRAV>AMC Holiday theater<A>Okay, There are two top rated movies available at AMC Holiday theater. They are 'King Johnny' and 'Indulgent'.<U>Tell me more about audience and critic ratings of these movies.<PN>get_movie_attribute<PAN>name.movie<PAV>'Indulgent'<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Suspense<PN>get_movie_attribute<PAN>name.movie<PAV>'Indulgent'<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<PN>get_movie_attribute<PAN>name.movie<PAV>'Indulgent'<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 72%<PN>get_movie_attribute<PAN>name.movie<PAV>'King Johnny'<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>Comedy<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>Rotten Tomatoes 71%<PN>get_movie_attribute<PAN>name.movie<PAV>King Johnny<PAN>attribute<PAV>rating.movie<PR>get_movie_attribute<PRAN>rating.movie<PRAV>R<A>Sure. Indulgent is a Suspense movie rated R - Rotten Tomatoes 72%. King Johnny is a Comedy movie rated R - Rotten Tomatoes 71%.<U>That's cool. I'll prefer that suspense movie.<A>Okay, At what time do you want to see Indulgent?<U>At the earliest showtime.<PN>find_showtimes<PAN>name.movie<PAV>'Indulgent'<PAN>name.theater<PAV>AMC Holiday theater<PAN>date.showing<PAV>today<PAN>time.preference<PAV>earliest showtime<PR>find_showtimes<PRAN>time.showing<PRAV>01:00 pm<A>The earliest showtime available for Indulgent at AMC Holiday Theater is 01:00 pm.<U>That's cool. I'll choose that.<A>How many tickets are needed?<U>Two.<A>Let me check. There are two seats available. Can I proceed?<U>Yeah you can proceed. I forgot the showtime. Can you repeat it again?<A>Sure. The showtime is at 01:00 pm.	[A]Okay, Can I confirm booking two tickets for Indulgent at AMC Holiday Theater in Hillview Washingto at showtime 01:00 pm, on 31-08-2020?	dlg-794223f8-d57c-42c8-a770-67af4a33d940
<U>Let's go with the 3:40PM show. Two tickets please.<C><U>Hello. Is the Cinemark Downtown theater still around? I haven't been there in a while.<A>It is still in business. Would you like to know what movies are playing?<U>I would. Thank you.<A>What day would you like for me to look at?<U>I plan to see a movie later on today.<PN>find_movies<PAN>name.theater<PAV>Cinemark Downtown<PAN>location<PAV>nearby<PR>find_movies<PRAN>name.movie<PRAV>Beyond The Storm<PRAV>Backcountry<A>The Cinemark Downtown is currently playing Beyond The Storm and Backcountry.<U>Do either of those movies have any showtimes after 3:00PM?<A>Yes. Both of the movies have a number of showtimes after 3:00PM.<U>Great. Could you tell me what Backcountry is about? I am out of the loop.<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>documentary<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>that shows the beauty of the Yosemite National Park<A>If you like nature documentaries, then you will love Backcountry. Backcountry is a documentary that shows the beauty of the Yosemite National Park.<U>That sounds wonderful. What is Beyond The Storm about?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>name.genre<PR>get_movie_attribute<PRAN>name.genre<PRAV>action<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>that takes focuses on a man named Captain John. Captain John has to survive weather and a mutiny on his ship<A>Beyond The Storm is an action film that takes focuses on a man named Captain John. Captain John has to survive weather and a mutiny on his ship.<U>That seems interesting. How did the movies do on Rotten Tomatoes?<PN>get_movie_attribute<PAN>name.movie<PAV>Beyond The Storm<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>81% score<PN>get_movie_attribute<PAN>name.movie<PAV>Backcountry<PAN>attribute<PAV>review.critic<PR>get_movie_attribute<PRAN>review.critic<PRAV>91% score<A>Beyond The Storm received an 81% score. Backcountry received a 91% score.<U>I am in the mood for an action film so I think I will choose Beyond The Storm. What times is it playing today?<PN>find_showtimes<PAN>name.movie<PAV>Beyond The Storm<PAN>name.theater<PAV>Cinemark Downtown<PAN>date.showing<PAV>today<PAN>time.preference<PAV>after 3:00PM<PR>find_showtimes<PRAN>time.showing<PRAV>1:30PM<PRAV>3:40PM<PRAV>6:10PM<PRAV>8:30PM.<A>Beyond The Storm is playing at 1:30PM, 3:40PM, 6:10PM, and 8:30PM.	[A]Just to clarify, you wish to purchase two tickets for today's 3:40PM showing of Beyond The Storm at the Cinemark Downtown. Is this right?	dlg-0a681b31-aee7-4cf1-9c59-518b43ecff9f
<PR>find_showtimes<PRAN>time.showing<PRAV>7 PM<PRAV>5:30<C><U>Good Morning! I am taking my girlfriend out to the movies this evening and was hoping you could help me get that all booked.<A>I would be more than happy to assist. What kind of movie did you have in mind?<U>Something that will make us laugh.<PN>find_movies<PAN>description.other<PAV>that will make us laugh<PR>find_movies<PRAN>name.movie<PRAV>Like a Boss<PN>get_movie_attribute<PAN>name.movie<PAV>Like a Boss<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>Like a Boss is a very funny movie about two women running a cosmetic company. Playing With Fire stars John Cena and is supposedly full of laughs<A>Like a Boss is a very funny movie about two women running a cosmetic company. Playing With Fire stars John Cena and is supposedly full of laughs.<U>Actually, are there any comedies playing that are in spanish. My girlfriend is from Mexico, so...<A>I have just the move then.Cindy la Regia is a Mexican comedy movie which is highly rated.<U>That sounds perfect!<A>Great. Where are you located.<U>We are in El Paso, Texas.<A>Let's see, there are a few showings in Houston.<U>No, not Houston, El Paso.<A>Oops, sorry about that.<U>I was wondering if Cinemex Sanders has that movie showing because they are closest to home.<PN>find_showtimes<PAN>name.movie<PAV>Like a Boss<PAN>name.theater<PAV>Cinemex Sanders<PAN>date.showing<PAV>today<PAN>time.preference<PAV>evening	[A]They do have some showings. 5:30 and 7 PM. What time did you want to go.	dlg-791acf8d-e0ff-4f90-bc57-235b51f0f3c8
<U>Sounds good.<C><U>I want to see a movie tonight.<A>What state?<U>Spring Hills Kansas.<A>What theater?<U>The AMC Holiday Theater.<A>What movie?<U>What is playing there?<PN>find_movies<PAN>location<PAV>Spring Hills Kansas<PAN>name.theater<PAV>AMC Holiday<PR>find_movies<PRAN>name.movie<PRAV>Not My Proble<PRAV>Family Jewels<PRAV>Shuttered<A>Not My Proble, Family Jewels and Shuttered.<U>What is Shuttered about?<PN>get_movie_attribute<PAN>attribute<PAV>description.plot<PAN>name.movie<PAV>Shuttered<PR>get_movie_attribute<PRAN>description.plot<PRAV>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm<A>Sarah Decker moves upstate from her New York City lifestyle to work on her distant cousin’s haunted marijuana farm.<U>What is Family Jewels about?<PN>get_movie_attribute<PAN>name.movie<PAV>Family Jewels<PAN>attribute<PAV>description.plot<PR>get_movie_attribute<PRAN>description.plot<PRAV>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist<A>A famous diamond dealer leaves his European life in Antwerp to pursue a less than genuine romance with an American con artist.<U>That sounds good, get me 1 ticket at the latest time.<PN>find_showtimes<PAN>name.movie<PAV>Family Jewels<PAN>name.theater<PAV>AMC Holiday<PAN>date.showing<PAV>tonight<PAN>time.preference<PAV>latest time<PR>find_showtimes<PRAN>time.showing<PRAV>8:10pm<A>Is 8:10pm OK.	[A]To confirm you want 1 ticket for Family Jewels at 8:10pm at the AMC Holiday Theater?	dlg-f4b07a32-71d7-4b8a-b06a-54ea3cf9b429
<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>Cinemark Plaza 24<C><U>I’d like movie tickets for The new James Bond film..<PN>resolve_movie<PAN>name.movie<PAV>The new James Bond film.<PR>resolve_movie<PRAN>name.movie<PRAV>No Time To Die<A>Happy to help! Let me just confirm that the movie name is No Time To Die. Is that right?<U>That’s right.<A>OK. Would you mind giving me the city and state where you’d like to see your movie?<U>Yes, I'm in Santa Barbara, California.<PN>resolve_location<PAN>location<PAV>SB<PR>resolve_location<PRAN>location<PRAV>Santa Barbara, California<A>OK. Santa Barbara, California. One moment.<U>Sure.<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PAN>name.movie<PAV>No Time To Die	[A]OK. No Time To Die is currently playing at AMC Mountain 16 and Cinemark Plaza 24 in Santa Barbara, California. Do you have a preference?	dlg-f68430dd-d44c-410d-ae2c-97c4a08f5d59
<U>OK.<C><U>EXCUSE ME,I WOULD LIKE TO GET TICKETS FOR MOVIE TO NIGHT<A>OK. I understand that you’d like to get tickets for tonight. Can you tell me the city and state where the theater is located?<U>IL CALIFORNIA<PN>find_theaters<PAN>location<PAV>Santa Barbara, California<PR>find_theaters<PRAN>name.theater<PRAV>AMC Mountain 16<PRAV>AMC Mercado 24<A>OK. And are you interested in AMC Mountain 16 or AMC Mercado 24?<U>AMC MOUNTAIN 16<A>Sorry for the trouble but I wanted to make sure I have it right.	[A]Is there a particular movie you’re looking for?	dlg-c29e98dc-c900-4977-bd5f-22bcf867bd93
<U>Spring Hills Kansas.<C><U>I want to watch movie tonight.<A>Sure. In Which location would you like to go for the movie?	[A]Which genre would you prefer?	dlg-744952cb-156a-4078-972f-77194575b21c
