================================================================================
JUDGE LOG - SUMMARY (Buffer Size: 5)
Started: 2025-12-24 13:31:42
================================================================================

[13:31:45] [Step 1] Expected: general | Detected: unknown | ✗ INCORRECT
[13:37:16] [Step 33] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:37:26] [Step 34] Expected: histogram | Detected: histogram | ✓ CORRECT
[13:37:29] [Step 1] Expected: general | Detected: unknown | ✗ INCORRECT
[13:37:34] [Step 2] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:37:47] [Step 3] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:37:52] [Step 4] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:38:05] [Step 5] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:38:13] [Step 6] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:38:18] [Step 7] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:38:30] [Step 8] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:38:38] [Step 9] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:38:43] [Step 10] Expected: histogram | Detected: histogram | ✓ CORRECT
[13:38:57] [Step 11] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:39:05] [Step 12] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:39:19] [Step 13] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:39:44] [Step 14] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:39:46] [Step 15] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:39:52] [Step 16] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:40:04] [Step 17] Expected: histogram | Detected: histogram | ✓ CORRECT
[13:40:12] [Step 18] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:40:21] [Step 19] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:40:30] [Step 20] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:40:38] [Step 21] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:40:46] [Step 22] Expected: histogram | Detected: histogram | ✓ CORRECT
[13:41:05] [Step 23] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:41:20] [Step 24] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:41:38] [Step 25] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:41:52] [Step 26] Expected: histogram | Detected: histogram | ✓ CORRECT
[13:42:00] [Step 27] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:42:11] [Step 28] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:42:24] [Step 29] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:42:35] [Step 30] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:42:57] [Step 31] Expected: by_length | Detected: by_length | ✓ CORRECT
[13:43:16] [Step 32] Expected: odd_count | Detected: odd_count | ✓ CORRECT
[13:43:24] [Step 33] Expected: move_one_ball | Detected: move_one_ball | ✓ CORRECT
[13:43:32] [Step 34] Expected: histogram | Detected: histogram | ✓ CORRECT
